"State, Territory, or Tribal Nation",Electoral Votes,Winner
ALABAMA,9,Trump
ALASKA,3,Trump
AMERICAN SAMOA,0,N/A
ARIZONA,11,Biden
ARKANSAS,6,Trump
CALIFORNIA,55,Biden
COLORADO,9,Biden
CONNECTICUT,7,Biden
DELAWARE,3,Biden
DISTRICT OF COLUMBIA,3,Biden
FLORIDA,29,Trump
GEORGIA,16,Biden
GUAM,0,N/A
HAWAII,4,Biden
IDAHO,4,Trump
ILLINOIS,20,Biden
INDIANA,11,Trump
IOWA,6,Trump
KANSAS,6,Trump
KENTUCKY,8,Trump
LOUISIANA,8,Trump
MAINE,3,Biden
MARYLAND,10,Biden
MASSACHUSETTS,11,Biden
MICHIGAN,16,Biden
MINNESOTA,10,Biden
MISSISSIPPI,6,Trump
MISSOURI,10,Trump
MONTANA,3,Trump
NEBRASKA,4,Trump
NEVADA,6,Biden
NEW HAMPSHIRE,4,Biden
NEW JERSEY,14,Biden
NEW MEXICO,5,Biden
NEW YORK,29,Biden
NORTH CAROLINA,15,Trump
NORTH DAKOTA,3,Trump
NORTHERN MARIANA ISLANDS,0,N/A
OHIO,18,Trump
OKLAHOMA,7,Trump
OREGON,7,Biden
PENNSYLVANIA,20,Biden
PUERTO RICO,0,N/A
RHODE ISLAND,4,Biden
SOUTH CAROLINA,9,Trump
SOUTH DAKOTA,3,Trump
TENNESSEE,11,Trump
TEXAS,38,Trump
TRIBAL COMMUNITIES,0,N/A
US VIRGIN ISLANDS,0,N/A
UTAH,6,Trump
VERMONT,3,Biden
VIRGINIA,13,Biden
WASHINGTON,12,Biden
WEST VIRGINIA,5,Trump
WISCONSIN,10,Biden
WYOMING,3,Trump
