"State, Territory, or Tribal Nation",Population
ALABAMA,"5,024,279"
ALASKA,"733,391"
AMERICAN SAMOA,"49,710"
ARIZONA,"7,151,502"
ARKANSAS,"3,011,524"
CALIFORNIA,"39,538,223"
COLORADO,"5,773,714"
CONNECTICUT,"3,605,944"
DELAWARE,"989,948"
DISTRICT OF COLUMBIA,"689,545"
FLORIDA,"21,538,187"
GEORGIA,"10,711,908"
GUAM,"153,836"
HAWAII,"1,455,271"
IDAHO,"1,839,106"
ILLINOIS,"12,812,508"
INDIANA,"6,785,528"
IOWA,"3,190,369"
KANSAS,"2,937,880"
KENTUCKY,"4,505,836"
LOUISIANA,"4,657,757"
MAINE,"1,362,359"
MARYLAND,"6,177,224"
MASSACHUSETTS,"7,029,917"
MICHIGAN,"10,077,331"
MINNESOTA,"5,706,494"
MISSISSIPPI,"2,961,279"
MISSOURI,"6,154,913"
MONTANA,"1,084,225"
NEBRASKA,"1,961,504"
NEVADA,"3,104,614"
NEW HAMPSHIRE,"1,377,529"
NEW JERSEY,"9,288,994"
NEW MEXICO,"2,117,522"
NEW YORK,"20,201,249"
NORTH CAROLINA,"10,439,388"
NORTH DAKOTA,"779,094"
NORTHERN MARIANA ISLANDS,"47,329"
OHIO,"11,799,448"
OKLAHOMA,"3,959,353"
OREGON,"4,237,256"
PENNSYLVANIA,"13,002,700"
PUERTO RICO,"3,285,874"
RHODE ISLAND,"1,097,379"
SOUTH CAROLINA,"5,118,425"
SOUTH DAKOTA,"886,667"
TENNESSEE,"6,910,840"
TEXAS,"29,145,505"
TRIBAL COMMUNITIES,Data not available
U.S. VIRGIN ISLANDS,"87,146"
UTAH,"3,271,616"
VERMONT,"643,077"
VIRGINIA,"8,631,393"
WASHINGTON,"7,705,281"
WEST VIRGINIA,"1,793,716"
WISCONSIN,"5,893,718"
WYOMING,"576,851"
